주자 위치에 따른 타율,1루,2루,3루,"1루,2루","1루,3루","2루,3루",만루
로하스,0.2,0.333,0.2,0.143,0,0,1
강백호,0.237,0.3,0.4,0.1,0.25,0,0
허경민,0.333,0,0.4,0.125,0.5,0.25,NaN
안현민,0.455,0.333,0.667,0.5,0,0,0.5
장성우,0.25,0.333,0,0.1,0.25,0,0.4
김민혁,0.267,0.143,0.333,0.364,0.4,0,0.333
황재균,0.323,0,0.667,0.455,1,0,0.5
배정대,0.217,0.125,0.667,0.231,NaN,0.333,0
김상수,0.2,0,0.5,0,1,NaN,0
문상철,0.143,0,0.5,0.222,0,0,0
권동진,0.333,0,0.5,0.5,0.25,1,0
