주자 위치에 따른 타율,1루,2루,3루,"1루,2루","1루,3루","2루,3루",만루
정수빈,0.393,0.364,0.167,0.167,0,0.5,0
케이브,0.29,0.429,0,0.286,0.5,1,0
양의지,0.393,0.389,0.5,0.385,0.5,0.5,0
김재환,0.324,0.5,0,0.385,0.5,0,0
양석환,0.206,0.313,0,0,0.4,0.6,0.25
강승호,0.235,0,0.429,0.286,0.25,0,0.2
오명진,0.2,0.4,0.333,0,0.333,0,0.667
김인태,0.25,0.5,0.5,0.2,0,0.333,0.5
박준영,0.174,0.2,0,0.333,0,0.333,0
김기연,0.583,0,0,0.4,NaN,0.333,1
임종성,0.5,0.333,NaN,0.5,0,0,NaN
