아웃카운트에 따른 타율,0 OUT,1 OUT,2 OUT
로하스,0.221,0.255,0.243
강백호,0.268,0.195,0.217
허경민,0.259,0.268,0.371
안현민,0.35,0.313,0.444
장성우,0.143,0.25,0.245
김민혁,0.288,0.345,0.36
황재균,0.227,0.304,0.212
배정대,0.118,0.171,0.256
김상수,0.217,0.333,0.12
문상철,0.2,0.294,0.184
권동진,0.519,0.194,0.25
